MGO1,MGS1,MGO2,MGS2,MGO3,MGS3,MGO4,MGS4,MGO5,MGS5,MGO6,MGS6,MGO7,MGS7,MGO8,MGS8,MGO9,MGS9,MGO10,MGS10,MGO11,MGS11,MGO12,MGS12,MGO13,MGS13,MGO14,MGS14,MGO15,MGS15,MGO16,MGS16,MGO17,MGS17,AttCheck,Age,Race_1,Race_2,Race_3,Race_4,Race_5,Race_6,Race_7,Rel,Eng,Emp_status,Income,Education,Gender,pol_party_1,pol_party_2,pol_party_3,pol_party_4,pol_soc,pol_econ,Condition,subj,Other1Self0,Public1Priv0,MoralGood1,MoralGood2,MoralGood3,MoralGood4,MoralGood5,MoralGood6,MoralGood7,MoralGood8,MoralGood9,MoralGood10,MoralGood11,MoralGood12,MoralGood13,MoralGood14,MoralGood15,MoralGood16,MoralGood17,Race,PartyID,Ideology
,5,,5,,6,,6,,5,,5,,6,,6,,5,,4,,5,,3,,5,,5,,2,,2,,7,orange,45,1,,,,,,#NULL!,1,1,1,9,5,2,1,,,,10,10,SelfPublic,47,0,1,5,5,6,6,5,5,6,6,5,4,5,3,5,5,2,2,7,White,Rep,10
6,,5,,6,,7,,7,,4,,7,,7,,7,,6,,5,,6,,7,,6,,4,,6,,7,,orange,45,1,,,,,,#NULL!,1,1,3,6,5,2,,,1,,1,2,OtherPublic,48,1,1,6,5,6,7,7,4,7,7,7,6,5,6,7,6,4,6,7,White,Ind,1.5
,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,4,,3,,4,,5,,5,,5,,5,orange,45,1,,,,,,#NULL!,3,1,8,8,6,2,1,,,,4,9,SelfPrivate,49,0,0,5,5,5,5,5,5,5,5,5,5,4,3,4,5,5,5,5,White,Rep,6.5
4,,4,,4,,6,,4,,5,,6,,5,,5,,5,,5,,4,,5,,5,,4,,5,,6,,orange,35,1,,,,,,#NULL!,3,1,1,7,5,1,1,,,,10,10,OtherPublic,50,1,1,4,4,4,6,4,5,6,5,5,5,5,4,5,5,4,5,6,White,Rep,10
7,,5,,7,,7,,7,,7,,7,,7,,7,,7,,4,,7,,7,,7,,4,,7,,7,,orange,33,1,,,,,,#NULL!,3,1,7,7,5,2,1,,,,10,10,OtherPrivate,51,1,0,7,5,7,7,7,7,7,7,7,7,4,7,7,7,4,7,7,White,Rep,10
4,,4,,5,,6,,6,,4,,6,,6,,5,,6,,6,,4,,6,,6,,4,,4,,5,,orange,60,1,,,,,,#NULL!,1,1,6,1,5,1,,,,1,3,10,OtherPrivate,52,1,0,4,4,5,6,6,4,6,6,5,6,6,4,6,6,4,4,5,White,Other,6.5
6,,6,,6,,6,,7,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,orange,53,1,,,,,,#NULL!,2,1,1,9,5,1,1,,,,9,9,OtherPrivate,53,1,0,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,White,Rep,9
,5,,5,,5,,6,,6,,5,,5,,5,,5,,5,,4,,5,,5,,5,,4,,5,,5,orange,28,1,,,,,,#NULL!,3,1,1,2,2,1,1,,,,10,10,SelfPublic,54,0,1,5,5,5,6,6,5,5,5,5,5,4,5,5,5,4,5,5,White,Rep,10
,4,,5,,5,,6,,7,,5,,7,,6,,4,,5,,5,,6,,6,,4,,4,,4,,6,orange,46,,,,,,1,#NULL!,1,1,1,3,5,2,,1,,,1,2,SelfPublic,55,0,1,4,5,5,6,7,5,7,6,4,5,5,6,6,4,4,4,6,Other,Dem,1.5
,5,,4,,4,,7,,7,,5,,6,,6,,5,,4,,4,,4,,5,,5,,3,,3,,6,orange,40,1,,,,,,#NULL!,1,1,1,6,5,1,,1,,,2,2,SelfPublic,56,0,1,5,4,4,7,7,5,6,6,5,4,4,4,5,5,3,3,6,White,Dem,2
